Shipment ID,Carrier Name,Zones,Cost_Raw,Cost_Normalized,Cost_A,Cost_B,Cost_C,Cost_D,Surcharge_Ratio
1F1234567890126010,Ekart Logistics,Zone 1,10.0,0.0,0.0,0.0,0.0,10.0,
1F12345ABCDE,Delhivery,3,0.0,0.0,0.0,0.0,0.0,0.0,
1F21098NBVCX,DHL,3,0.0,0.0,0.0,0.0,0.0,0.0,
1F43210MNBVC,Gati,1,0.0,0.0,0.0,0.0,0.0,0.0,
1F65432ZXCVB,Safe Express,2,0.0,0.0,0.0,0.0,0.0,0.0,
1F76543LKJHG,FedEx,5,0.0,0.0,0.0,0.0,0.0,0.0,
1F87654BCDAZ,Blue Dart,2,0.0,0.0,0.0,0.0,0.0,0.0,
1F98765LKJHG,Delhivery,4,0.0,0.0,0.0,0.0,0.0,0.0,
2F09876MNBVC,Safe Express,2,0.0,0.0,0.0,0.0,0.0,0.0,
2F10987ZXCVB,Blue Dart,4,0.0,0.0,0.0,0.0,0.0,0.0,
2F32109POIUY,Delhivery,4,0.0,0.0,0.0,0.0,0.0,0.0,
2F43210MNBVC,Gati,1,0.0,0.0,0.0,0.0,0.0,0.0,
2F76543LKJHG,Ecom Express,2,0.0,0.0,0.0,0.0,0.0,0.0,
2F76543MNBVC,DTDC,1,0.0,0.0,0.0,0.0,0.0,0.0,
2F76543POIUY,DHL,1,0.0,0.0,0.0,0.0,0.0,0.0,
3F10987LKJHG,DTDC,1,0.0,0.0,0.0,0.0,0.0,0.0,
3F10987ZXCVB,Blue Dart,4,0.0,0.0,0.0,0.0,0.0,0.0,
3F43210LKJHG,Safe Express,4,0.0,0.0,0.0,0.0,0.0,0.0,
3F43210MNBVC,FedEx,5,0.0,0.0,0.0,0.0,0.0,0.0,
3F43210ZXCVB,Ekart Logistics,3,0.0,0.0,0.0,0.0,0.0,0.0,
3F6789BCDEFG,DTDC,2,0.0,0.0,0.0,0.0,0.0,0.0,
3F76543LKJHG,DHL,3,0.0,0.0,0.0,0.0,0.0,0.0,
3F98765ZXCVB,Delhivery,4,0.0,0.0,0.0,0.0,0.0,0.0,
4F10987MNBVC,FedEx,5,0.0,0.0,0.0,0.0,0.0,0.0,
4F10987NBVCX,Delhivery,3,0.0,0.0,0.0,0.0,0.0,0.0,
4F10987POIUY,Ecom Express,2,0.0,0.0,0.0,0.0,0.0,0.0,
4F10987ZXCVB,Gati,1,0.0,0.0,0.0,0.0,0.0,0.0,
4F43210MNBVC,Safe Express,2,0.0,0.0,0.0,0.0,0.0,0.0,
4F65432POIUY,DTDC,1,0.0,0.0,0.0,0.0,0.0,0.0,
4F76543LKJHG,DHL,3,0.0,0.0,0.0,0.0,0.0,0.0,
4F87654MNBVC,Ekart Logistics,3,0.0,0.0,0.0,0.0,0.0,0.0,
5F10987ZXCVB,Delhivery,4,0.0,0.0,0.0,0.0,0.0,0.0,
5F32109LKJHG,Ekart Logistics,3,0.0,0.0,0.0,0.0,0.0,0.0,
5F43210MNBVC,Safe Express,2,0.0,0.0,0.0,0.0,0.0,0.0,
5F54321ZXCVB,Ecom Express,2,0.0,0.0,0.0,0.0,0.0,0.0,
5F76543LKJHG,DHL,3,0.0,0.0,0.0,0.0,0.0,0.0,
5F87654LKJHG,FedEx,5,0.0,0.0,0.0,0.0,0.0,0.0,
5F87654ZXCVB,Gati,1,0.0,0.0,0.0,0.0,0.0,0.0,
5F98765HIJKL,Ekart Logistics,4,0.0,0.0,0.0,0.0,0.0,0.0,
5F98765MNBVC,DTDC,5,0.0,0.0,0.0,0.0,0.0,0.0,
6F09876MNBVC,Ecom Express,2,0.0,0.0,0.0,0.0,0.0,0.0,
6F10987ZXCVB,Delhivery,4,0.0,0.0,0.0,0.0,0.0,0.0,
6F21098POIUY,FedEx,5,0.0,0.0,0.0,0.0,0.0,0.0,
6F43210MNBVC,Safe Express,2,0.0,0.0,0.0,0.0,0.0,0.0,
6F54321MNBVC,Gati,1,0.0,0.0,0.0,0.0,0.0,0.0,
6F54321POIUY,Blue Dart,4,0.0,0.0,0.0,0.0,0.0,0.0,
6F76543JHGFD,Ekart Logistics,2,0.0,0.0,0.0,0.0,0.0,0.0,
6F76543LKJHG,DTDC,1,0.0,0.0,0.0,0.0,0.0,0.0,
7F10987ZXCVB,Delhivery,4,0.0,0.0,0.0,0.0,0.0,0.0,
7F21098LKJHG,DHL,3,0.0,0.0,0.0,0.0,0.0,0.0,
7F21098ZXCVB,Blue Dart,4,0.0,0.0,0.0,0.0,0.0,0.0,
7F43210MNBVC,Ekart Logistics,3,0.0,0.0,0.0,0.0,0.0,0.0,
7F43210YTRWE,Ecom Express,3,0.0,0.0,0.0,0.0,0.0,0.0,
7F65432MNOPQ,Ecom Express,1,0.0,0.0,0.0,0.0,0.0,0.0,
7F76543LKJHG,DTDC,1,0.0,0.0,0.0,0.0,0.0,0.0,
7F76543ZXCVB,FedEx,5,0.0,0.0,0.0,0.0,0.0,0.0,
7F98765LKJHG,Gati,1,0.0,0.0,0.0,0.0,0.0,0.0,
8F10987ZXCVB,FedEx,4,0.0,0.0,0.0,0.0,0.0,0.0,
8F43210MNBVC,Ekart Logistics,3,0.0,0.0,0.0,0.0,0.0,0.0,
8F43210POIUY,Gati,1,0.0,0.0,0.0,0.0,0.0,0.0,
8F76543LKJHG,DTDC,1,0.0,0.0,0.0,0.0,0.0,0.0,
8F76543MNBVC,Blue Dart,4,0.0,0.0,0.0,0.0,0.0,0.0,
8F98765MNBVC,Safe Express,2,0.0,0.0,0.0,0.0,0.0,0.0,
8F98765POIUY,DHL,3,0.0,0.0,0.0,0.0,0.0,0.0,
9F10987LKJHG,Blue Dart,4,0.0,0.0,0.0,0.0,0.0,0.0,
9F10987ZXCVB,Ecom Express,2,0.0,0.0,0.0,0.0,0.0,0.0,
9F32109RSTUV,FedEx,5,0.0,0.0,0.0,0.0,0.0,0.0,
9F43210MNBVC,Ekart Logistics,3,0.0,0.0,0.0,0.0,0.0,0.0,
9F43210ZXCVB,DHL,3,0.0,0.0,0.0,0.0,0.0,0.0,
9F65432LKJHG,Safe Express,2,0.0,0.0,0.0,0.0,0.0,0.0,
9F65432ZXCVB,DTDC,1,0.0,0.0,0.0,0.0,0.0,0.0,
9F76543LKJHG,FedEx,5,0.0,0.0,0.0,0.0,0.0,0.0,
9F87654POIUY,Gati,1,0.0,0.0,0.0,0.0,0.0,0.0,
